comparison_id,observable,baseline,system_id,hypothesis_revision,free_parameters,data_ids,prediction,uncertainty,metric,run_id,status
,,,s01_triad_kinematics,,,,,,,,not_tested
,,,s02_light_speed_helix_force,,,,,,,,not_tested
,,,s03_gaq_geometric_atom,,,,,,,,not_tested
,,,s04_ieg_information_gravity,,,,,,,,not_tested
,,,s05_hdu_higher_dimensions,,,,,,,,not_tested
,,,s06_tcl_topological_chirality,,,,,,,,not_tested
,,,s07_gaq_complex_curvature,,,,,,,,not_tested
,,,s08_gaq_geometrized_constants,,,,,,,,not_tested
,,,s09_gaq_mass_spectrum,,,,,,,,not_tested
,,,s10_frequency_helix_ontology,,,,,,,,not_tested
,,,s11_gmuft_geometric_coupling,,,,,,,,not_tested
,,,s12_light_speed_helix,,,,,,,,not_tested
,,,s13_duality_fractal_uft,,,,,,,,not_tested
,,,p01_space_compression,,,,,,,,not_tested
,,,p02_matter_source,,,,,,,,not_tested
,,,p03_gauge_unification,,,,,,,,not_tested
,,,p04_quantum_emergence,,,,,,,,not_tested
