claim_id,hypothesis_revision,statement,assumptions,derivation,prediction,run_id,data_id,uncertainty,evidence_level,status,reviewer
S14-C0001,tuft-20260915,"挠率多分量""相加""T=T^(0)+T^iσ^i/2+T^aλ^a/2 为类型错误：1×1 与 2×2 与 3×3 维数不同不可加；正确结构为张量积 (1⊕2)⊗3，单代维数 15（含 ν_R 为 16）与标准模型一致 ⇒ 该结构是 SM 表示论重述而非从挠率导出",S14-A2,07_计算复现/源码/tuft_四力统一_全维求导精算.py#§1;09_验证结果/原始运行记录/tuft_四力统一_report.txt#S1.2,07_计算复现/运行记录/run_template.json,,维数与生成元数为精确整数无误差,mathematical_result,falsified,
S14-C0002,tuft-20260915,"sin²θ_W≈0.231 由""内禀空间维度比 3:1""几何决定：3:1 的自然读数为 1/4=0.250（与 M_Z 实测 0.23122 差 8.12%）；且 1-loop 中 sin²=1/4 出现在 3.68 TeV、3/8 出现在 1.03e13 GeV ⇒ 把 IR 测量值当 UV 几何定值属尺度混淆+循环",S14-A2,07_计算复现/源码/tuft_四力统一_全维求导精算.py#§2;09_验证结果/原始运行记录/tuft_四力统一_report.txt#S2.5,07_计算复现/运行记录/run_template.json,,偏差 8.12% 远超测量误差,numerical_check,falsified,
S14-C0003,tuft-20260915,M_GUT≈10^16 GeV 处 g1=g2=g3 汇聚：1-loop SM 三耦合不汇聚——两两交点 1.03e13 / 2.44e14 / 9.82e16 GeV（1/α=42.4/40.3/47.0）；10^16 GeV 处 α 最大/最小=1.210（21.0% 分散）；汇聚需 MSSM（交点 1e16.3 GeV、1/α≈24.3）,S14-A3,07_计算复现/源码/tuft_四力统一_全维求导精算.py#§4;09_验证结果/原始运行记录/tuft_四力统一_report.txt#S4.6,07_计算复现/运行记录/run_template.json,,1-loop 截断误差不影响 21% 分散的量级判定,numerical_check,falsified,
S14-C0004,tuft-20260915,"四大相互作用完整统一/最终归一：结构群 SO(1，3)×U(1)×SU(2)×SU(3) 为笛卡尔直积（18 维）而非单群（SU(5) 为 24 维）⇒ 群论上不减少参数；""统一作用量""= EH+Yang-Mills+Dirac 逐字照搬（无 T² 项、无 R² 项、无 Ω 场作用量）；19 个自由参数无一被几何量替代",S14-A3,07_计算复现/源码/tuft_四力统一_全维求导精算.py#§3;09_验证结果/原始运行记录/tuft_四力统一_report.txt#S3.6,07_计算复现/运行记录/run_template.json,,直积维数与参数计数为精确计数,mathematical_result,falsified,
S14-C0005,tuft-20260915,黑洞温度与质量公式量纲非法：T_H=ħc/(8πGM) 量纲为 [M]（正确式应含 c³）；M=(1/c²)∫αKTΩ·4πr²dr 量纲为 L⁻²T²（正确关系 M=c²r_h/(2G)）——同一 αKTΩ/c² 缺陷族第 3 次重现（续篇§5.1→SU3§5.1→本册§3）,S14-A4,07_计算复现/源码/tuft_黑洞热力学_全维求导精算.py#§3;09_验证结果/原始运行记录/tuft_黑洞热力学_report.txt#B3.4,07_计算复现/运行记录/run_template.json,,量纲为精确有理指数无误差,mathematical_result,falsified,
S14-C0006,tuft-20260915,"视界处曲率连续且内部曲率受饱和约束（仿真结果特征）：逐行复现原文代码得 K(r_h⁻)=0.632121 K_sat 与 K(r_h⁺)=1.000000 K_sat ⇒ 跳变 1.582 倍（不连续）；内部 max K=0.625752 K_sat 且 K(r→0)=0 ⇒ K_sat 从未被触及；scipy.optimize.minimize 被导入但从未调用 ⇒ 该""数值模型""实为绘图脚本",S14-A4,07_计算复现/源码/tuft_黑洞热力学_全维求导精算.py#§6;09_验证结果/原始运行记录/tuft_黑洞热力学_report.txt#B6.3,07_计算复现/运行记录/run_template.json,,复现值为确定性解析式求值无统计误差,numerical_check,falsified,
S14-C0007,tuft-20260915,黑洞熵的信息载体是半整数拓扑环绕数 W=1/2、1、3/2…：Gauss 环绕数（Hopf 链双线积分 400² 网格）实算 −1.0000 即整数；半整数来自自旋 1/2 双覆盖（2π 旋转→−1）而非环绕数；与续篇自洽结论（Lk=−1 整数）冲突,S14-A4,07_计算复现/源码/tuft_黑洞热力学_全维求导精算.py#§2;09_验证结果/原始运行记录/tuft_黑洞热力学_report.txt#B2.6,07_计算复现/运行记录/run_template.json,,离散化偏差 ~1e-4 不影响整数性判定,numerical_check,falsified,
S14-C0008,tuft-20260915,黑洞熵的微观来源是视界挠率元胞计数（每元胞 1 比特）：与 S=A/(4l_P²) 相差因子 4——自洽要求元胞面积 4l_P²=1.0449e-69 m²（即每普朗克面积 1/4 nat）；全册无配分函数、无态数 N、无 ln N ⇒ 零态计数，系数属事后拟合,S14-A4,07_计算复现/源码/tuft_黑洞热力学_全维求导精算.py#§2;09_验证结果/原始运行记录/tuft_黑洞热力学_report.txt#B2.3,07_计算复现/运行记录/run_template.json,,因子 4 为精确整数比,mathematical_result,falsified,
S14-C0009,tuft-20260915,霍金温度的合法几何形式：T_H=ħc√K(r_h)/(4πk_B)（取 K(r_h)=1/r_h²）量纲为温度且与标准 T_H=ħc³/(8πGk_BM) 代数恒等（因 √K=1/r_h=c²/(2GM)）；1 M☉ 实算 6.170074e-08 K、相对偏差 2.15e-16,S14-A1,07_计算复现/源码/tuft_黑洞热力学_全维求导精算.py#§3;09_验证结果/原始运行记录/tuft_黑洞热力学_report.txt#B3.2,07_计算复现/运行记录/run_template.json,,机器零（双精度极限）,numerical_check,verified,
S14-C0010,tuft-20260915,标准模型费米子表自洽性：Q=T₃+Y 九项（u_L/d_L/u_R/d_R/ν_L/e_L/e_R/H⁺/H⁰）全对；五类反常（ΣY、ΣY³、SU(2)²U(1)、SU(3)²U(1)、SU(3)³）Fraction 精确为零 —— 属 SM 表内禀性质（TUFT 照抄该表，非导出）,S14-A2,07_计算复现/源码/tuft_四力统一_全维求导精算.py#§5;09_验证结果/原始运行记录/tuft_四力统一_report.txt#S5.3,07_计算复现/运行记录/run_template.json,,有理数精确为零（无浮点误差）,mathematical_result,verified,
S14-C0011,tuft-20260915,信息悖论已消解：信息编码于视界挠率拓扑环绕数、蒸发全程幺正、全息原理是挠率拓扑的推论：无 Page 曲线、无辐射谱相对热谱的偏离量、无 S 矩阵、无微扰计算 ⇒ 不可证伪（1 M☉ 黑洞 t_evap=2.096e+67 yr、Page 时间≈1.355e+67 yr 均未给出）；且全息原理本身是前提而非推论,S14-A4,07_计算复现/源码/tuft_黑洞热力学_全维求导精算.py#§4;09_验证结果/原始运行记录/tuft_黑洞热力学_report.txt#B4.3,07_计算复现/运行记录/run_template.json,,无定量预言可核验,conjecture,unreviewed,
