claim_id,hypothesis_revision,statement,assumptions,derivation,prediction,prediction_value,prediction_urel,run_id,data_id,uncertainty,evidence_level,status,reviewer
S15-C0001,article-2026-6-9,圆柱螺旋几何基元与类光约束：空间每点做圆柱螺旋运动且环绕速度恒为 c,S15-A1,13_论文与成果/来源语料索引.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,代数恒等式,mathematical_result,H,verified,
S15-C0002,article-2026-6-9,曲率与挠率的定义由螺旋参数给出 κ=ρ/(ρ²+b²)、τ=b/(ρ²+b²),S15-A2,03_数学形式/几何基元与不变量.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,代数定义,mathematical_result,H,verified,
S15-C0003,article-2026-6-9,归一化恒律 κ²+τ²=1/(ρ²+b²)=ω²/c² 在 A1–A2 参数化下成立,S15-A1;S15-A2,03_数学形式/几何基元与不变量.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,本仓库复算残差 <1e-30（机器零）,mathematical_result,H,verified,
S15-C0004,article-2026-6-9,精细结构常数几何化 α=κ/τ=ρ/b=tanθ 被宣称为纯几何拓扑不变量；实际为螺旋参数定义而非独立物理推导,S15-A2,03_数学形式/几何基元与不变量.md,,,,,11_证伪与反例/过度声称与矛盾清单.md,,定义性恒等式；无量纲不变量但非独立导出,mathematical_result,O,unreviewed,
S15-C0005,article-2026-6-9,尺度变换不变性：κ'=κ/k、τ'=τ/k、α'=α 使拓扑比跨尺度分层保持不变,S15-A3,03_数学形式/几何基元与不变量.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,代数结果,mathematical_result,H,verified,
S15-C0006,article-2026-6-9,质量几何化派生式 m=ħ τ(α²+1)/(α c)=ħ/(ρ c)；以 CODATA 的 m_e、ħ、c 反算回 m_e 属循环自证,S15-A2;S15-A4,04_理论推导/常数几何化与统一母方程.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,输入即输出；非独立预言,redefinition,C,unreproduced,
S15-C0007,article-2026-6-9,质量母式 m=ħ κ/(c cosθ) 与派生式 m=ħ τ(α²+1)/(α c) 并存且未证明何者为第一性,S15-A2,11_证伪与反例/过度声称与矛盾清单.md,,,,,11_证伪与反例/过度声称与矛盾清单.md,,内部修订而非外部证明,internal_conflict,C,unreviewed,
S15-C0008,article-2026-6-9,普朗克常数几何化 ħ=mcρ；由质量与螺旋半径定义 ħ，复算 ħ 属循环,S15-A2;S15-A4,04_理论推导/常数几何化与统一母方程.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,输入即输出,redefinition,C,unreproduced,
S15-C0009,article-2026-6-9,元电荷 e=√(4π ε₀ ħ c κ/τ)；若几何 α=κ/τ 等同精细结构常数则为精确恒等式，但属循环自证,S15-A2;S15-A4,04_理论推导/常数几何化与统一母方程.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,输入即输出；实测相对误差 ~3e-10（受 CODATA 取整限制，非机器零；来源宣称全域零误差 <1e-14% 夸大）,redefinition,C,unreproduced,
S15-C0010,article-2026-6-9,真空介电常数 ε₀=τ/(4π c² κ)=1/(4π c² α)；物理正确式应为 ε₀=e²/(4π ħ c α)，来源式缺 ħ、e² 因子，复算偏差 ~7e4 倍，不自洽,S15-A2;S15-A4,04_理论推导/常数几何化与统一母方程.md,,,,,09_验证结果/原始运行记录/verify_ct_uft_report.txt,,公式缺 hbar、e^2 因子；复算偏差 ~7e4 倍,internal_conflict,C,falsified,
